,symbol
0,ETHBTC
1,LTCBTC
2,BNBBTC
3,NEOBTC
4,QTUMETH
5,EOSETH
6,SNTETH
7,BNTETH
8,BCCBTC
9,GASBTC
10,BNBETH
11,BTCUSDT
12,ETHUSDT
13,HSRBTC
14,OAXETH
15,DNTETH
16,MCOETH
17,ICNETH
18,MCOBTC
19,WTCBTC
20,WTCETH
21,LRCBTC
22,LRCETH
23,QTUMBTC
24,YOYOBTC
25,OMGBTC
26,OMGETH
27,ZRXBTC
28,ZRXETH
29,STRATBTC
30,STRATETH
31,SNGLSBTC
32,SNGLSETH
33,BQXBTC
34,BQXETH
35,KNCBTC
36,KNCETH
37,FUNBTC
38,FUNETH
39,SNMBTC
40,SNMETH
41,NEOETH
42,IOTABTC
43,IOTAETH
44,LINKBTC
45,LINKETH
46,XVGBTC
47,XVGETH
48,SALTBTC
49,SALTETH
50,MDABTC
51,MDAETH
52,MTLBTC
53,MTLETH
54,SUBBTC
55,SUBETH
56,EOSBTC
57,SNTBTC
58,ETCETH
59,ETCBTC
60,MTHBTC
61,MTHETH
62,ENGBTC
63,ENGETH
64,DNTBTC
65,ZECBTC
66,ZECETH
67,BNTBTC
68,ASTBTC
69,ASTETH
70,DASHBTC
71,DASHETH
72,OAXBTC
73,ICNBTC
74,BTGBTC
75,BTGETH
76,EVXBTC
77,EVXETH
78,REQBTC
79,REQETH
80,VIBBTC
81,VIBETH
82,HSRETH
83,TRXBTC
84,TRXETH
85,POWRBTC
86,POWRETH
87,ARKBTC
88,ARKETH
89,YOYOETH
90,XRPBTC
91,XRPETH
92,MODBTC
93,MODETH
94,ENJBTC
95,ENJETH
96,STORJBTC
97,STORJETH
98,BNBUSDT
99,VENBNB
100,YOYOBNB
101,POWRBNB
102,VENBTC
103,VENETH
104,KMDBTC
105,KMDETH
106,NULSBNB
107,RCNBTC
108,RCNETH
109,RCNBNB
110,NULSBTC
111,NULSETH
112,RDNBTC
113,RDNETH
114,RDNBNB
115,XMRBTC
116,XMRETH
117,DLTBNB
118,WTCBNB
119,DLTBTC
120,DLTETH
121,AMBBTC
122,AMBETH
123,AMBBNB
124,BCCETH
125,BCCUSDT
126,BCCBNB
127,BATBTC
128,BATETH
129,BATBNB
130,BCPTBTC
131,BCPTETH
132,BCPTBNB
133,ARNBTC
134,ARNETH
135,GVTBTC
136,GVTETH
137,CDTBTC
138,CDTETH
139,GXSBTC
140,GXSETH
141,NEOUSDT
142,NEOBNB
143,POEBTC
144,POEETH
145,QSPBTC
146,QSPETH
147,QSPBNB
148,BTSBTC
149,BTSETH
150,BTSBNB
151,XZCBTC
152,XZCETH
153,XZCBNB
154,LSKBTC
155,LSKETH
156,LSKBNB
157,TNTBTC
158,TNTETH
159,FUELBTC
160,FUELETH
161,MANABTC
162,MANAETH
163,BCDBTC
164,BCDETH
165,DGDBTC
166,DGDETH
167,IOTABNB
168,ADXBTC
169,ADXETH
170,ADXBNB
171,ADABTC
172,ADAETH
173,PPTBTC
174,PPTETH
175,CMTBTC
176,CMTETH
177,CMTBNB
178,XLMBTC
179,XLMETH
180,XLMBNB
181,CNDBTC
182,CNDETH
183,CNDBNB
184,LENDBTC
185,LENDETH
186,WABIBTC
187,WABIETH
188,WABIBNB
189,LTCETH
190,LTCUSDT
191,LTCBNB
192,TNBBTC
193,TNBETH
194,WAVESBTC
195,WAVESETH
196,WAVESBNB
197,GTOBTC
198,GTOETH
199,GTOBNB
200,ICXBTC
201,ICXETH
202,ICXBNB
203,OSTBTC
204,OSTETH
205,OSTBNB
206,ELFBTC
207,ELFETH
208,AIONBTC
209,AIONETH
210,AIONBNB
211,NEBLBTC
212,NEBLETH
213,NEBLBNB
214,BRDBTC
215,BRDETH
216,BRDBNB
217,MCOBNB
218,EDOBTC
219,EDOETH
220,WINGSBTC
221,WINGSETH
222,NAVBTC
223,NAVETH
224,NAVBNB
225,LUNBTC
226,LUNETH
227,TRIGBTC
228,TRIGETH
229,TRIGBNB
230,APPCBTC
231,APPCETH
232,APPCBNB
233,VIBEBTC
234,VIBEETH
235,RLCBTC
236,RLCETH
237,RLCBNB
238,INSBTC
239,INSETH
240,PIVXBTC
241,PIVXETH
242,PIVXBNB
243,IOSTBTC
244,IOSTETH
245,CHATBTC
246,CHATETH
247,STEEMBTC
248,STEEMETH
249,STEEMBNB
250,NANOBTC
251,NANOETH
252,NANOBNB
253,VIABTC
254,VIAETH
255,VIABNB
256,BLZBTC
257,BLZETH
258,BLZBNB
259,AEBTC
260,AEETH
261,AEBNB
262,RPXBTC
263,RPXETH
264,RPXBNB
265,NCASHBTC
266,NCASHETH
267,NCASHBNB
268,POABTC
269,POAETH
270,POABNB
271,ZILBTC
272,ZILETH
273,ZILBNB
274,ONTBTC
275,ONTETH
276,ONTBNB
277,STORMBTC
278,STORMETH
279,STORMBNB
280,QTUMBNB
281,QTUMUSDT
282,XEMBTC
283,XEMETH
284,XEMBNB
285,WANBTC
286,WANETH
287,WANBNB
288,WPRBTC
289,WPRETH
290,QLCBTC
291,QLCETH
292,SYSBTC
293,SYSETH
294,SYSBNB
295,QLCBNB
296,GRSBTC
297,GRSETH
298,ADAUSDT
299,ADABNB
300,CLOAKBTC
301,CLOAKETH
302,GNTBTC
303,GNTETH
304,GNTBNB
305,LOOMBTC
306,LOOMETH
307,LOOMBNB
308,XRPUSDT
309,BCNBTC
310,BCNETH
311,BCNBNB
312,REPBTC
313,REPETH
314,REPBNB
315,BTCTUSD
316,TUSDBTC
317,ETHTUSD
